G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
20,2024-12-03,9:00p,San Antonio Spurs,104.0,93.0,12,8,W 2,17071,2:15,In-Season Tournament,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
21,2024-12-05,8:00p,New Orleans Pelicans,124.0,126.0,12,9,L 1,16365,2:21,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
22,2024-12-07,8:00p,Miami Heat,111.0,121.0,12,10,L 2,19600,2:13,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
23,2024-12-08,6:30p,Orlando Magic,110.0,115.0,12,11,L 3,18311,2:23,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
24,2024-12-13,9:30p,Utah Jazz,134.0,126.0,13,11,W 1,18175,2:11,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
25,2024-12-15,8:00p,Portland Trail Blazers,116.0,109.0,14,11,W 2,17071,2:06,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
26,2024-12-19,9:00p,Indiana Pacers,111.0,120.0,14,12,L 1,17071,2:17,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
27,2024-12-21,9:00p,Detroit Pistons,125.0,133.0,14,13,L 2,17071,2:22,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
28,2024-12-23,10:00p,Denver Nuggets,90.0,117.0,14,14,L 3,19910,2:05,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
29,2024-12-25,10:30p,Denver Nuggets,110.0,100.0,15,14,W 1,17071,2:15,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
